date,cases,country
6.3.20,1,India
5.3.20,22,India
4.3.20,1,India
3.3.20,2,India
2.3.20,0,India
1.3.20,0,India
29.2.20,0,India
28.2.20,0,India
27.2.20,0,India
26.2.20,0,India
25.2.20,0,India
24.2.20,0,India
23.2.20,0,India
22.2.20,0,India
21.2.20,0,India
20.2.20,0,India
19.2.20,0,India
18.2.20,0,India
17.2.20,0,India
16.2.20,0,India
15.2.20,0,India
14.2.20,0,India
13.2.20,0,India
12.2.20,0,India
11.2.20,0,India
10.2.20,0,India
9.2.20,0,India
8.2.20,0,India
7.2.20,0,India
6.2.20,0,India
5.2.20,0,India
4.2.20,1,India
3.2.20,0,India
2.2.20,1,India
1.2.20,0,India
31.1.20,0,India
30.1.20,1,India
29.1.20,0,India
28.1.20,0,India
27.1.20,0,India
26.1.20,0,India
25.1.20,0,India
24.1.20,0,India
23.1.20,0,India
22.1.20,0,India
21.1.20,0,India
20.1.20,0,India
19.1.20,0,India
18.1.20,0,India
17.1.20,0,India
16.1.20,0,India
15.1.20,0,India
14.1.20,0,India
13.1.20,0,India
12.1.20,0,India
11.1.20,0,India
10.1.20,0,India
9.1.20,0,India
8.1.20,0,India
7.1.20,0,India
6.1.20,0,India
5.1.20,0,India
4.1.20,0,India
3.1.20,0,India
2.1.20,0,India
1.1.20,0,India
31.12.19,0,India
16.6.20,301,Italy
15.6.20,338,Italy
14.6.20,346,Italy
13.6.20,163,Italy
12.6.20,379,Italy
11.6.20,202,Italy
10.6.20,283,Italy
9.6.20,280,Italy
8.6.20,197,Italy
7.6.20,270,Italy
6.6.20,518,Italy
5.6.20,177,Italy
4.6.20,321,Italy
3.6.20,318,Italy
2.6.20,178,Italy
1.6.20,355,Italy
31.5.20,416,Italy
30.5.20,516,Italy
29.5.20,593,Italy
28.5.20,584,Italy
27.5.20,397,Italy
26.5.20,300,Italy
25.5.20,531,Italy
24.5.20,669,Italy
23.5.20,652,Italy
22.5.20,642,Italy
21.5.20,665,Italy
20.5.20,813,Italy
19.5.20,451,Italy
18.5.20,675,Italy
17.5.20,875,Italy
16.5.20,789,Italy
15.5.20,992,Italy
14.5.20,888,Italy
13.5.20,1402,Italy
12.5.20,744,Italy
11.5.20,802,Italy
10.5.20,1083,Italy
9.5.20,1327,Italy
8.5.20,1401,Italy
7.5.20,1444,Italy
6.5.20,1075,Italy
5.5.20,1221,Italy
4.5.20,1389,Italy
3.5.20,1900,Italy
2.5.20,1965,Italy
1.5.20,1872,Italy
30.4.20,2086,Italy
29.4.20,2091,Italy
28.4.20,1739,Italy
27.4.20,2324,Italy
26.4.20,2357,Italy
25.4.20,3021,Italy
24.4.20,2646,Italy
23.4.20,3370,Italy
22.4.20,2729,Italy
21.4.20,2256,Italy
20.4.20,3047,Italy
19.4.20,3491,Italy
18.4.20,3493,Italy
17.4.20,3786,Italy
16.4.20,2667,Italy
15.4.20,2972,Italy
14.4.20,3153,Italy
13.4.20,4092,Italy
12.4.20,4694,Italy
11.4.20,3951,Italy
10.4.20,4204,Italy
9.4.20,3836,Italy
8.4.20,3039,Italy
7.4.20,3599,Italy
6.4.20,4316,Italy
5.4.20,4805,Italy
4.4.20,4585,Italy
3.4.20,4668,Italy
2.4.20,4782,Italy
1.4.20,4053,Italy
31.3.20,4050,Italy
30.3.20,5217,Italy
29.3.20,5974,Italy
28.3.20,5959,Italy
27.3.20,6153,Italy
26.3.20,5210,Italy
25.3.20,5249,Italy
24.3.20,4789,Italy
23.3.20,5560,Italy
22.3.20,6557,Italy
21.3.20,5986,Italy
20.3.20,5322,Italy
19.3.20,4207,Italy
18.3.20,3526,Italy
17.3.20,4000,Italy
16.3.20,2823,Italy
15.3.20,3497,Italy
14.3.20,2547,Italy
13.3.20,2651,Italy
12.3.20,2313,Italy
11.3.20,977,Italy
10.3.20,1797,Italy
9.3.20,1492,Italy
8.3.20,1247,Italy
7.3.20,778,Italy
6.3.20,769,Italy
5.3.20,587,Italy
4.3.20,466,Italy
3.3.20,347,Italy
2.3.20,561,Italy
1.3.20,240,Italy
29.2.20,238,Italy
28.2.20,250,Italy
27.2.20,78,Italy
26.2.20,93,Italy
25.2.20,97,Italy
24.2.20,53,Italy
23.2.20,62,Italy
22.2.20,14,Italy
21.2.20,0,Italy
20.2.20,0,Italy
19.2.20,0,Italy
18.2.20,0,Italy
17.2.20,0,Italy
16.2.20,0,Italy
15.2.20,0,Italy
